,village_name,school,hospital,park,retail
128,大布村民委员会,219,20,14,325
129,雍陌村民委员会,218,22,17,329
130,古鹤村民委员会,60,15,7,238
131,新圩村民委员会,71,14,6,243
132,茅湾村民委员会,75,14,5,259
133,塘敢村民委员会,243,21,15,322
134,板芙村民委员会,47,7,2,91
135,金钟村民委员会,29,6,3,109
136,里溪村民委员会,26,7,3,100
137,深湾村民委员会,25,6,3,98
138,白溪村民委员会,49,9,3,133
139,宥南村民委员会,18,2,3,42
140,外沙村民委员会,27,5,5,118
141,史店村委会,32,9,3,28
142,岳庄村委会,8,6,0,17
143,李寨村委会,33,9,0,33
144,大安乐庄村委会,110,44,2,133
145,锦源村委会,2,2,0,4
146,新溪桥村委会,250,41,10,149
147,平山社区,3,3,1,3
148,金马村委会,31,7,3,28
149,朱村村委会,29,7,3,28
150,孝村村委会,22,8,5,29
151,高乐村委会,11,6,1,31
152,虹桥村委会,12,6,1,35
153,石门村委会,0,1,1,0
154,龙上村委会,0,2,1,2
155,里畈村委会,1,3,0,2
156,下埠村委会,18,7,2,25
157,自由村委会,76,29,7,99
158,杨洪村委会,3,4,0,4
159,海龙村委会,4,4,1,2
160,乐平村委会,3,4,0,7
161,后营村委会,17,6,2,30
162,白牛村委会,22,8,2,32
163,新都村委会,4,4,1,6
164,马啸村委会,2,2,0,2
165,玉屏村委会,6,3,1,5
166,周云村委会,7,4,1,12
167,对石村委会,20,9,2,26
168,桂芳桥村委会,6,4,1,9
169,武山村委会,165,55,24,107
170,新溪新村委会,4,6,0,12
171,兴龙村委会,6,6,0,17
172,吕匣村村委会,6,1,2,7
173,箕子山村村委会,7,1,0,5
174,王庄村委会,11,0,0,8
175,满沟屯社区村民委员会,350,46,7,219
176,道沟村委会,731,93,3,579
177,小山前村委会,104,19,0,160
178,古城社区村民委员会,414,51,2,386
179,郭家山村委会,35,3,2,48
180,云白常村委会,14,1,1,10
181,王庄村委会,12,1,0,11
182,东朱崔村委会,23,1,0,30
183,金柳村村委会,21,1,0,18
184,巾山村委会,5,2,0,4
185,西洋村委会,527,42,47,268
186,两水村委会,468,35,46,240
187,双桥村委会,182,46,13,237
188,贺家村委会,52,7,1,45
189,朝阳村委会,136,21,5,117
190,上沙村委会,15,5,1,8
191,大田刘村委会,114,22,5,102
192,绚珠村委会,100,15,4,70
193,西洋头村委会,44,7,0,40
194,屈家村委会,144,23,3,114
195,新前塘村委会,8,3,1,13
196,岩园村委会,144,23,3,108
197,横山前村委会,22,7,1,21
198,后泾村委会,37,13,1,33
199,红光村委会,71,26,4,74
200,西岑村委会,13,7,0,9
201,横路村委会,169,57,57,324
202,湖田村委会,19,5,2,17
203,上洋村委会,5,1,2,3
204,方田洋村委会,179,30,6,168
205,半洋村委会,320,55,16,254
206,松中村委会,193,40,6,187
207,汾西村委会,198,40,6,192
208,岸头村委会,138,37,4,178
209,洪家村委会,58,9,3,83
210,下八年村委会,189,35,7,188
211,富沈村委会,190,37,7,191
212,酒店村委会,148,41,5,203
213,西堑村委会,146,23,3,110
214,建立村委会,146,17,5,90
215,西尚村委会,27,6,0,28
