,village_name,school,hospital,park,retail
1034,大欧戈庄村民委员会,30,5,3,53
1035,二里村村委会,781,120,17,409
1036,古城村村委会,12,2,1,24
1037,田庄村民委员会,16,10,0,13
1038,西寨村村民委员会,13,1,0,6
1039,东寨村村民委员会,359,45,10,156
1040,后堤村村民委员会,22,3,0,14
1041,东庄村村民委员会,9,8,0,13
1042,桑寨村村民委员会,17,7,0,5
1043,新建村村民委员会,194,31,6,101
1044,西山村委会,183,31,6,108
1045,前山村委会,134,15,10,69
1046,莲桥村委会,124,15,10,70
1047,后洪庙村委会,8,1,0,5
1048,红土坎村委会,73,6,7,128
1049,瑶头村委会,333,31,14,635
1050,西浦村委会,304,24,12,565
1051,美星村委会,197,8,6,272
1052,布塘村委会,203,14,17,111
1053,东郊村委会,221,56,21,131
1054,吕北村委会,26,13,1,27
1055,秦潭村委会,14,5,2,27
1056,西宁村委会,28,11,0,43
1057,天汾镇村委会,31,19,2,54
1058,澄湖村委会,76,14,6,97
1059,天平村委会,523,39,20,443
1060,马舍村委会,56,12,5,105
1061,莫厘村委会,27,5,4,29
1062,渡口村委会,30,6,4,33
1063,湖桥村委会,58,17,5,110
1064,浦庄村委会,55,14,2,115
1065,太湖居委会,9,7,0,9
1066,大港村委会,56,12,3,130
1067,凌家汇村委会,62,15,2,134
1068,河西村委会,122,14,6,213
1069,秦家港村委会,151,13,7,247
1070,大河村委会,4,5,3,10
1071,西山村委会,83,15,6,102
1072,前村村委会,30,11,0,54
1073,移沿山村委会,69,11,6,105
1074,上强村委会,12,7,1,27
1075,青山村委会,9,4,0,16
1076,四都村委会,21,10,2,43
1077,叶家港村委会,35,11,1,88
1078,沧州村委会,30,11,2,66
1079,圣牛村委会,32,11,1,80
1080,双湾村委会,36,13,2,94
1081,大家港村委会,36,13,2,94
1082,厍港村委会,42,16,1,82
1083,中鲈村委会,49,14,8,52
1084,荷花村委会,192,27,15,179
1085,坛丘村委会,205,27,13,201
1086,双熟村委会,132,25,11,173
1087,兴华村委会,102,23,12,121
1088,大船港村委会,91,24,6,114
1089,龙降桥村委会,39,20,4,73
1090,高新村委会,89,18,10,90
1091,华莺村委会,25,13,3,62
1092,渭泉村委会,25,4,1,10
1093,柏墩村委会,7,5,1,8
1094,袁窦村委会,54,11,0,41
1095,国庆村委会,270,43,20,383
1096,虹桥村委会,22,17,8,105
1097,大舜村委会,22,10,1,53
1098,丁栅社区,14,10,1,46
1099,杨庙社区,10,6,2,54
1100,塔桥村村委会,31,15,7,103
1101,金庄村委会,205,28,5,151
1102,东街村村委会,395,32,5,162
1103,张家场村委会,355,30,5,160
1104,康家务村委会,17,7,0,19
1105,大石村村民委员会,1202,136,26,670
1106,品清村委会,219,19,10,235
1107,木兰村委会,390,36,10,660
1108,霞皋村委会,144,6,6,215
1109,埔柳村委会,46,2,4,21
1110,西沙村委会,57,5,4,115
1111,濑溪村委会,60,3,2,98
1112,兴沙村委会,53,3,0,90
1113,西许村委会,50,3,1,44
1114,云峰村委会,52,4,2,93
1115,后塘村委会,53,3,4,53
1116,湖头村委会,49,6,1,62
1117,张边村委会,45,11,1,75
1118,太湖村委会,41,3,0,41
1119,东沙村委会,124,22,6,145
1120,大埔村委会,69,5,3,106
1121,利角村委会,17,1,0,8
1122,东朱村委会,46,11,1,77
1123,庆丰村委会,392,31,26,294
1124,长岗村委会,114,5,5,324
1125,岗丰村委会,191,5,15,227
1126,翟洞村委会,112,12,3,220
1127,简村村委会,142,9,12,241
1128,三联村委会,359,28,25,243
1129,郭村村委会,16,3,5,34
1130,久裕村委会,305,18,10,771
1131,东洲村委会,300,22,17,736
1132,白江村委会,42,2,4,76
1133,坭紫村委会,345,18,15,829
1134,白石村委会,18,2,2,45
1135,上邵村委会,156,9,16,283
1136,瑶田村委会,387,14,19,689
1137,新何村委会,408,18,21,951
1138,甘涌村委会,417,20,15,931
1139,麻车村委会,49,2,3,62
1140,沙头村委会,73,4,8,122
1141,郭庄村委会,209,30,6,168
1142,牛集村委会,13,2,0,21
1143,何营村委会,168,42,0,184
1144,王营村委会,9,3,0,13
1145,新华村民委员会,3,1,0,0
1146,枣林村村委会,83,7,6,87
1147,新立村村委会,147,15,12,99
1148,桑马房村村委会,36,8,6,61
1149,北臧村村委会,59,9,3,86
1150,西大营村村委会,23,7,5,57
1151,前苑上村村委会,22,8,9,50
1152,留民营村村委会,29,12,7,56
1153,董家务村委会,18,4,0,23
1154,大广安村委会,19,2,0,8
1155,李庄子村委会,9,8,1,31
1156,郭王只堡村委会,18,3,0,9
1157,北魏村委会,12,4,0,7
1158,牛庄村委会,11,3,0,5
1159,南门村委会,46,7,16,69
1160,福塘村委会,113,32,5,51
1161,横潭坎村委会,223,23,15,139
1162,坑边村委会,232,26,15,132
1163,八都村委会,226,26,16,129
1164,西演茅村委会,270,25,19,161
1165,莪园村委会,241,23,17,142
1166,石板路村委会,188,43,10,145
1167,澄村委会,13,2,0,17
1168,溪东村委会,9,2,0,3
1169,上宅村委会,29,12,0,16
1170,左溪村委会,8,0,0,7
1171,小溪坑村委会,2,1,0,0
1172,下秧田村委会,60,12,2,29
1173,上庞村委会,65,10,2,31
1174,下王村委会,63,6,5,45
1175,后村村委会,24,8,0,19
1176,坦头村委会,6,2,0,1
1177,黄务洋村委会,24,4,0,9
1178,鱼山村委会,30,6,0,18
1179,湖岸村委会,142,23,3,114
1180,溪南村委会,235,49,12,163
1181,五百村委会,36,8,0,22
1182,大余村委会,5,3,0,1
1183,东陈村委会,407,87,26,434
1184,西陈村委会,0,0,0,0
1185,岸塘村委会,237,44,61,224
1186,前洋奚村委会,172,57,57,322
1187,六另村委会,143,23,3,113
1188,榧树村委会,139,23,3,114
1189,下陈岙村委会,23,6,0,7
1190,严畈村委会,37,8,0,21
1191,瓶窑村委会,47,5,2,24
1192,下李村委会,62,24,2,45
1193,市山村委会,57,9,3,83
1194,西山村委会,5,1,3,0
1195,岩下桥村委会,37,8,0,21
1196,八一村委会,36,7,0,23
1197,牌门陈村委会,26,4,0,14
1198,长崔村委会,144,23,3,116
1199,东横上宅村委会,29,12,0,16
1200,东横下宅村委会,87,7,5,45
1201,大黄徐村委会,37,6,0,20
1202,黄务村委会,32,5,0,22
1203,洋头村委会,183,27,11,147
1204,下坊村委会,144,23,3,115
1205,下宅张村委会,22,5,0,6
1206,亭头村委会,23,5,0,7
1207,朗树前村委会,25,6,0,16
1208,灵一村委会,18,4,0,19
1209,联合村委会,18,4,0,20
1210,山头洋村委会,40,8,0,26
1211,岩店村委会,16,3,0,14
1212,大横金村委会,36,5,0,21
1213,大横村委会,24,5,0,22
1214,塘上村委会,17,4,1,25
1215,上山村委会,107,55,12,275
1216,大一村委会,71,26,4,79
1217,大二村委会,163,58,60,307
1218,大三村委会,35,7,0,34
1219,市集村委会,30,6,0,27
1220,项家村委会,33,6,0,27
1221,湖塘村委会,33,9,0,13
1222,希董村委会,139,23,3,114
1223,董墅村村委会,58,13,11,108
1224,三皇庙村村委会,58,16,10,118
1225,大吴村委会,36,10,0,31
1226,大庄村委会,12,4,1,10
1227,新民村委会,9,5,0,51
1228,联盟村委会,1,0,1,0
1229,庆祝村委会,8,6,0,51
1230,白马村委会,17,7,0,71
1231,利泰社区居委会,46,14,3,83
1232,直塘社区居委会,36,15,1,66
1233,岳王社区居委会,15,10,7,41
1234,洪泾村委会,44,14,3,85
1235,半泾村委会,43,13,3,82
1236,胜利村委会,39,11,3,76
1237,新塘村委会,106,13,20,169
1238,牌楼社区居委会,12,7,7,42
1239,和平花园社区居委会,22,6,13,33
1240,雅鹿村委会,10,13,1,31
1241,新湖村委会,52,14,6,87
1242,新卫村委会,216,35,10,186
1243,陆渡村委会,73,22,4,116
1244,大张村委会,7,2,0,10
1245,陈桥村村委会,296,39,25,231
1246,路口村村委会,50,23,6,105
1247,北门村村委会,279,39,25,224
1248,塘外村村委会,59,25,6,98
1249,洪庙村村委会,74,25,4,108
1250,红旗村村委会,137,20,12,184
1251,冯家村村委会,16,16,2,45
1252,戴家村村委会,37,19,3,61
1253,二桥村村委会,9,13,3,40
1254,蔡家桥村村委会,9,11,3,37
1255,东新市村村委会,10,8,2,36
1256,北宋村村委会,198,33,8,260
1257,姚家村村委会,22,22,7,83
1258,岳和村村委会,30,19,7,83
1259,北唐村村委会,23,17,7,83
1260,工农村村委会,205,26,15,220
1261,解放村村委会,28,17,6,109
1262,银河村委会,16,8,1,34
1263,双虹桥村委会,15,6,0,24
1264,中天村委会,74,6,2,159
1265,赵牛村村委会,13,2,0,10
1266,沙溪村委会,3,4,0,0
1267,高村村委会,44,23,3,86
1268,虹路村委会,29,16,3,81
1269,苏孟村委会,9,8,0,9
1270,江家村委会,0,0,1,0
1271,上作村村民委员会,252,38,6,115
1272,四联村村民委员会,30,9,0,25
1273,长店村村民委员会,32,9,0,27
1274,桑坡村村民委员会,45,5,0,29
1275,平乐社区居民委员会,38,5,1,26
1276,东山头村村民委员会,56,8,1,52
1277,南石山村村民委员会,24,2,2,14
1278,石门村村民委员会,7,2,0,2
1279,东地村村民委员会,17,1,0,5
1280,二道河村委会,14,6,0,10
1281,杨家庄村委会,202,51,6,126
1282,王家场村委会,148,37,1,111
1283,东南汪村委会,211,50,3,171
1284,河渠村委会,19,1,0,7
1285,油房村委会,20,6,0,8
1286,前浊南村委会,41,2,0,21
1287,后浊南村委会,41,2,0,25
1288,大召村委会,99,17,2,51
1289,北陈村委会,29,2,0,10
1290,李家营村委会,31,1,0,14
1291,大祁村委会,287,40,4,141
1292,田庄村委会,9,5,1,5
1293,清明寺村委会,5,2,0,15
1294,双碓村委会,13,6,1,17
1295,小房村委会,67,17,2,39
1296,石家岙村委会,87,38,2,130
1297,集义村委会,14,7,1,30
1298,樟树村委会,161,56,8,192
1299,滨海村委会,11,6,0,18
1300,望海村委会,41,20,3,85
1301,吉庆桥村委会,219,27,8,251
1302,南北庄村委会,7,3,1,16
1303,义士塔村委会,91,14,8,95
1304,荷花塘村委会,66,9,5,107
1305,银湾村委会,21,8,4,77
1306,赵家上村委会,18,7,3,39
1307,鹤鹿溪村委会,16,9,0,61
1308,康山村委会,14,6,0,24
1309,万亩村委会,277,39,8,295
1310,双河村委会,220,28,7,267
1311,三官村委会,26,6,3,57
1312,安城村委会,13,7,3,20
1313,碧门村委会,12,3,1,22
1314,灵峰村委会,114,21,3,139
1315,孝源村委会,20,5,0,30
1316,松坑村委会,8,3,0,13
1317,吴村村委会,3,2,0,10
1318,姚村村委会,3,2,0,3
1319,杭垓村委会,8,4,0,13
1320,新上塘村委会,8,5,0,11
1321,潴口溪村委会,30,9,5,52
1322,狮古桥村委会,33,12,4,54
1323,新村村委会,7,0,0,6
1324,下汤村委会,5,6,3,18
1325,统里村委会,4,7,0,14
1326,白水湾村委会,7,4,1,20
1327,晓墅社区居委会,25,16,2,29
1328,刘家塘村委会,31,12,3,55
1329,北大街村村委会,223,51,6,145
1330,南大街村村委会,11,1,0,11
1331,路景村村委会,16,0,0,11
1332,南阳村村委会,14,2,0,23
1333,长白村委会,0,0,0,2
1334,南关村委会,251,46,9,172
1335,西王庄村委会,240,48,8,163
1336,新政村委会,219,43,5,132
1337,南大良村委会,231,47,7,159
1338,北张沃村委会,254,47,8,178
1339,李各庄村委会,81,15,5,69
1340,王各庄村委会,240,46,6,159
1341,南苏村委会,21,4,0,22
1342,台城村委会,72,15,4,70
1343,大张庄村委会,109,19,4,107
1344,北六村委会,13,1,3,22
1345,北龙化村委会,16,1,0,10
1346,南龙化村委会,15,1,0,10
1347,西龙化村委会,16,1,0,10
1348,孟仲峰村委会,16,2,0,12
1349,北响口村委会,10,6,0,11
1350,美法村委会,364,86,23,327
1351,吾都村委会,312,75,22,285
1352,上山村委会,350,83,25,318
1353,鹤厅村委会,18,1,1,9
1354,温泉村委会,51,11,1,66
1355,鹤前村委会,111,33,6,171
1356,莲兜美村委会,42,20,2,55
1357,碧一村委会,70,17,0,88
1358,恒美村委会,37,18,1,46
1359,赤岭村委会,51,20,1,51
1360,雅兴村委会,237,62,11,214
1361,同美村委会,364,82,19,298
1362,勤内村委会,274,71,12,238
1363,光德村委会,358,82,21,305
1364,仙苑村委会,230,25,7,205
1365,中标村委会,215,49,16,191
1366,土楼村委会,363,80,22,290
1367,砖文村委会,380,86,23,340
1368,员宅村委会,119,28,8,233
1369,过溪村委会,118,28,8,238
1370,涝港村委会,104,23,6,167
1371,玉田村委会,67,16,1,114
1372,山美村委会,140,31,7,223
1373,大岭村委会,0,2,0,0
1374,西坪村委会,19,2,0,5
1375,阳星村委会,4,0,0,1
1376,尧山村委会,143,32,7,266
1377,后格村委会,118,28,8,236
1378,美塘村委会,59,18,4,67
1379,灶坑村委会,14,2,1,5
1380,灶美村委会,18,2,1,7
1381,翰苑村委会,549,137,19,1261
1382,翰卿村委会,18,2,1,7
1383,新楼村委会,14,3,1,7
1384,尤俊村委会,13,2,1,6
1385,福林村委会,112,39,21,207
1386,南斗门村村委会,158,24,4,123
1387,良富村民委员会,131,35,4,110
1388,大奇连村委会,41,9,0,53
1389,西坂村委会,28,4,1,21
1390,东坂村委会,20,6,0,29
1391,北陶邱村委会,21,6,0,28
1392,南陶邱村委会,25,5,0,40
1393,西只东村委会,25,6,0,36
1394,大西丈村委会,19,4,0,30
1395,耿赵庄村委会,28,6,0,51
1396,东王楼村委会,27,6,0,53
1397,固刘村委会,43,5,0,34
1398,聂庄村委会,18,2,0,13
1399,许庄村委会,21,5,0,22
1400,姚庄村委会,164,29,6,139
1401,刘庄村委会,48,12,1,42
1402,陈集村委会,32,12,1,45
1403,八里庙村委会,48,15,1,54
1404,王店村委会,40,15,2,43
1405,湾子张村委会,30,10,1,35
1406,冯张庄村委会,29,11,1,40
1407,耿庄村委会,35,9,0,31
1408,李屯村委会,24,10,2,21
1409,东街村委会,14,4,0,8
1410,赵丁村委会,153,21,0,91
1411,万福集村委会,7,2,0,9
1412,琉璃庙村委会,17,7,0,34
1413,马集村委会,13,3,0,14
1414,西孔村委会,153,21,0,93
1415,马庄村委会,21,4,0,18
1416,杨河村委会,27,5,1,33
1417,张秀雨村委会,27,5,1,33
1418,后董村委会,43,5,0,35
1419,薛庄村委会,14,2,0,1
1420,曲庄村委会,150,21,0,91
1421,张庄村委会,28,11,1,39
1422,王楼村委会,24,3,0,29
1423,王庄砦村委会,17,3,0,17
1424,后晁楼村委会,15,2,0,13
1425,宋庄村委会,20,7,0,15
1426,边庄村村民委员会,107,16,2,109
1427,蜀山社区居民委员会,108,25,9,120
1428,西望村村民委员会,82,21,7,86
1429,任墅村村民委员会,94,18,11,93
1430,建新村村民委员会,79,22,12,76
1431,塍里村村民委员会,78,24,7,80
1432,三洞桥村村民委员会,89,20,8,83
1433,双桥村村民委员会,85,20,4,73
1434,大港村村民委员会,99,16,15,102
1435,伏东村村民委员会,9,6,0,21
1436,潜洛村村民委员会,58,17,6,80
1437,紫砂村村民委员会,98,22,10,114
1438,洛涧村村民委员会,33,15,7,75
1439,查林村村民委员会,51,9,7,73
1440,川埠村村民委员会,87,17,9,105
1441,双庙村村民委员会,117,24,18,132
1442,洋渚村村民委员会,51,17,1,55
1443,莲花堰村委会,159,20,5,131
1444,荣塘村委会,754,60,6,382
1445,沙田村委会,11,0,1,2
1446,西小里村委会,40,5,0,71
1447,大河村委会,15,2,0,13
1448,胡村村委会,27,7,5,32
1449,王家营村委会,37,6,0,37
1450,南王昝村委会,79,17,0,120
1451,高家庄村委会,19,2,0,23
1452,张楚营村委会,20,3,0,27
